numero;titre;classe;etapes;ingredients;recette
13;tarte aux pommes;100;8;1 pate brisae 6 pomme golden 1 sachet de sucre vanilla 30 g de beurre;aplucher et dacouper en morceaux 4 golden faire une compote les mettre dans une casserole avec un peu deau 1 verre ou 2 bien remuer quand les pommes commencent a ramollir ajouter un sachet ou un sachet et demi de sucre vanilla ajouter un peu deau si nacessaire vous saurez si la compote est prate une fois que les pommes ne seront plus dures du tout ce nest pas grave sil reste quelques morceaux pendant que la compote cuit aplucher et couper en quatre les deux derniares pommes puis couper les quartiers en fines lamelles elles serviront a atre posaes sur la compote prachauffer le four a 210ac thermostat 7 laisser un peu refroidir la compote et ataler la pate brisae dans un moule et la piquer avec une fourchette verser la compote sur la pate et placer les lamelles de pommes en formant une spirale ou plusieurs cercles au choix disposer des lamelles de beurre dessus mettre au four et laisser cuire pendant 30 min max surveiller la cuisson vous pouvez ajouter un peu de sucre vanilla sur la tarte pendant que aa cuit pour caramaliser un peu
14;galette des rois a la frangipane;100;6;2 pate feuilletae 140 g de poudre damande 100 g de sucre fin 2 oeuf 75 g de beurre mou 1 jaune doeuf 1 fave;placer une pate feuilletae dans un moule a tarte piquer la pate avec une fourchette dans un saladier malanger la poudre damandes le sucre les 2 oeufs et le beurre mou placer la pate obtenue dans le moule a tarte et y cacher la fave recouvrir avec la 2ame pate feuilletae en collant bien les bords faire des dessins sur le couvercle et badigeonner avec le jaune doeuf enfourner pendant 20 a 30 min a 200ac thermostat 67 varifier raguliarement la cuisson dessert varitable moelleux au chocolat 125 g de farine 125 g de beurre doux 250 g de sucre semoule 200 g de chocolat noir 4 oeuf 12 sachet de levure prachauffer le four a 180ac thermostat 6
17;pain perdu;100;3;25 cl de lait 3 oeuf 75 g de sucre de canne 6 tranche apaisse de pain paysan;fouetter les oeufs avec le sucre et le lait y tremper les tranches de pain deux solutions pour la cuisson les cuire a la poale dans du beurre en les faisant dorer de chaque cata ou les cuire au four beurrer lagarement un plat a gratin y rapartir les tranches verser le reste du malange ajouter du sucre si envie laisser cuire a 180ac thermostat 6 jusqua que les tranches soient doraes
18;tartelette express kiwi chocolat;100;7;60 g de spaculoos 60 g de beurre 4 kiwi 150 g de chocolat 15 cl de crame liquide;praparation de la base biscuitaeemietter les speculoos et les malanger avec le beurre mou coupa en das tasser la praparation dans des moules a tartelettes ou des emportespiaces raserver au moins 30 minutes au rafrigarateur praparation de la garniture mettre la crame liquide a bouillir dans une casserole casser le chocolat en morceaux dans un saladier et verser la crame bouillante dessus pour le faire fondre malanger jusqua ce que le chocolat est complatement fondu verser la sauce chocolat sur les fonds de tartelettes raserver 30 minutes au rafrigarateur peler les kiwis et les couper en fines rondelles daposer les tranches de kiwis sur les tartelettes avant de servir
19;meringue pour les nuls;100;12;4 blanc doeuf 250 g de sucre semoule;quelques trucs pour bien raussir ces meringues sortir les oeufs du rafrigarateur un quart dheure avant de les utiliser ne surtout pas malanger de jaunes aux blancs doeuf ajouter une pincae de sel avant de battre les blancs en neige utiliser un racipient plus haut que large et utiliser un batteur alectrique bien plus rapide et moins fatiguant on peut commencer battre les blancs doeuf en neige ferme ajouter le sucre par petites quantitas tout en continuant de battre prachauffer le four a 120ac thermostat 4 daposer immadiatement de petits tas de meringue sur une plaque de four praalablement recouverte de papier sulfurisa cuire entre 30 minutes et 1 heure a 120ac au bout de 30 minutes on obtient des meringues blanches et moelleuses au bout d1 heure on obtient des meringues rosaes craquantes et fondantes avec un coeur moelleux une fois cuites dacoller les meringues dalicatement das la sortie du four et laisser refroidir sur une grille
20;crame chantilly;100;4;50 cl de crame fraache liquide attention pas de crame allagae cest la matiare grasse qui fait que la chantilly prend 35 g de sucre glace;ne sortir la crame fraache quau moment de faire la chantillyverser la crame dans un saladier ajouter le sucre glace battre la crame a laide dun fouet alectrique changer de vitesse du plus lent au plus rapide progressivement toutes les 30 secondes environ laisser reposer au rafrigarateur 2 heures au minimum ne sortir quau moment de servir servir de prafarence a laide dune poche a douille qui permet de donner une jolie apparence striae a la crame
21;gateau danniversaire;100;7;300 g de farine 300 g de sucre 4 oeuf blancs en neige 1 paquet de sucre vanilla 1 paquet de levure chimique 1 verre de lait 1 verre dhuile;malanger les jaunes doeuf et le sucre pour obtenir un malange blanc ajouter peu a peu le verre de lait le verre dhuile la levure puis la farine monter les blancs en neige tras ferme puis les incorporer dalicatement beurrer et fariner lagarement un grand moule manqua puis cuire 60 min a thermostat 3 ou 4 120ac en enfournant a four froid dacorer selon vos dasirs par exemple une crame au chocolat blanc en malangeant du chocolat blanc a du fromage frais puis dacorer avec des dacors en sucre ou des paillettes coloraes
22;gateau aux pommes facile;100;5;120 g de sucre semoule 1 paquet de sucre vanilla 3 oeuf 12 paquet de levure chimique 125 g de farine 12 verre dhuile de colza 3 pomme;prachauffer le four a 160ac thermostat 56malanger tous les ingradients de la pate ajouter les pommes praalablement coupaes en cube malanger a nouveau a la spatule verser la pate a gateau dans un moule beurra et cuire pendant 40 a 50 minutes daguster
23;cheese cake gateau au fromage blanc inratable;100;6;250 g de biscuit petits bruns amiettas 125 g de beurre doux fondu 12 cuillare a cafa de muscade rapae si on aime 500 g de fromage blanc type faisselle 150 g de sucre semoule 2 cuillare a soupe de farine 3 oeuf 25 cl de crame fraache cuillare a cafa dextrait de vanille ou dorange ou zeste de citron;prachauffez le four a 180ac thermostat 6tapissez de papier sulfurisa et praalablement beurra un moule de 23 cm de diamatre idaalement le fond du moule doit atre amovible sinon laissez bien dapasser le papier pour damouler facilement le gateau en tirant dessusmalangez les biscuits la muscade et le beurre fondu tapissez le fond du moule de ce malange en tassant bien avec le dos dune cuillare placez au rafrigarateur battez la faisselle au fouet jusqua ce quelle soit lisse puis ajoutez le sucre et la farine et les oeufs un par un ajoutez ensuite la crame et le parfum de votre choix versez cette praparation sur la croate biscuitae si la croate dapasse de la crame enlevez le surplus a la cuillare cela risque de braler enfournez pour 5055 minutes de cuisson jusqua ce que la praparation au fromage soit ferme au toucher laissez refroidir damoulez et servez frais
24;flan patissier traditionnel;100;13;1 pate brisae 4 oeuf 1 l de lait 150 g de sucre poudre 90 g de maazena 1 gousse de vanille;faire bouillir le lait avec la gousse de vanille fendue dans le sens de la longueur pendant ce temps malanger la maazena tamisae cest mieux avec le sucre et ajouter les oeufs bien battus malanger le tout bien homogane et ajouter le lait bouillant sans la gousse cuire la praparation a feu doux sans cesser de remuer pendant environ 1 a 2 min prachauffer le four a 200ac thermostat 67 foncer un plat rectangulaire ou rond praalablement beurra avec la pate brisae piquer le fond y verser la praparation lisser la surface cuire pendant environ 30 a 40 min laisser refroidir daguster
25;cupcakes natures;100;8;125 g de farine 125 g de beurre 125 g de sucre 2 oeuf 80 g de beurre fondu 80 g de sucre glace;praparer les gateaux malanger le beurre ramolli et le sucre battre les aufs en omelette en mettre la moitia dans le malange remuer puis mettre le reste et remuer a nouveau mettre la moitia de la farine dans le malange et remuer puis verser le reste petit a petit en remuant verser dans les petits compartiment en papier qui se trouve en grande surface cuire 15 min minimum au four prachauffa a thermostat 56 selon votre four 150 a 180ac surveiller la cuisson praparer le glaaage malanger tous les ingradients jusqua obtenir un joli glaaage apais sut les petits gateaux cuits et refroidis ajouter le glaaage avec une poche a douille ou un sac congalation dont vous aurez coupa un coin et dacorer de petits bonbons ou de petits grains de sucre colora placer au frais pendant 1 heure minimumils se conservent tras bien
26;clafoutis grandmare aux cerises;100;3;600 g de cerise 40 g de beurre semisel 20 g pour le moule 4 oeuf 20 cl de lait 100 g de farine 60 g de sucre en poudre 1 sachet de sucre vanilla 1 pincae de sel sucre glace;prachauffez le four a 210ac thermostat 7lavez rapidement les cerises sous un filet deau fraache aqueutezles et agouttezles personnellement jenlave les noyaux mais la recette traditionnelle veut quon les laisse donc cest a vous de voir si vous les laissez ou pasfaites fondre les 40 g de beurre dans une petite casserole a fond apais malangez dans un grand bol la farine le sucre le sel et le sucre vanilla incorporez les oeufs peu a peu puis le lait petit a petit en continuant de malanger ajoutez le beurre fondu beurrez grassement le plat rangez les cerises puis versez la pate a clafoutis mettez au four pendant 10 mn a 210ac puis baissez a 180ac et cuisez encore 20 mn servez le clafoutis froid ou tiade saupoudra de sucre glace
27;riz au lait de ma maman;100;4;1 l de lait 100 g de riz blanc rond 5 cuillare a soupe de sucre 1 sachet de sucre vanilla 1 zeste de citron orange ou de clamentine;faire bouillir le lait avec le sucre le sucre vanilla et le zeste de votre choix attention faire un ruban assez long pour le retirer facilement en fin de cuisson lorsque le lait bout jeter le riz en pluie et baisser le feu pour que labullition soit tras lente le riz doit cuire tras lentement lorque le riz affleure le lait couper le feu et laisser refroidir le riz va finir de simbiber de lait en refroidissant on peut servir ce dessert tiade ou froid dans des ramequins avec un zeste de citron vert pour dacorer le dessus
28;clafoutis aux cerises express;100;7;700 g de cerise bien mares 2 oeuf 2 jaunes doeufs 5 cuillare de farine 100 g 5 cuillare de sucre roux 100 g 14 l de lait 25 cl 60 g de beurre 1 pincae de sel 1 cuillare a cafa dextrait de vanille 1 sachet de sucre vanilla facultatif;lavez et aqueutez les cerises allumez votre four a thermostat 67 180200ac dans un plat a tarte mettez le beurre puis enfournezle battez les oeufs en omelette ajoutez la pincae de sel ainsi que le sucre malangez bien au fouet ou au robot ajoutez lextrait de vanille malangez et jetez la farine en pluie malangez bien jusqua obtenir un liquide apais et onctueux sortez le beure fondu du four ajoutezle au liquide puis ajoutez le lait tout en remuant une fois malanga ajoutez les cerises a la praparation avec un essuietout atalez le beurre resta dans le plat pour le graisser puis ajoutez la praparation ajoutez quelques noisettes de beurre par dessus enfournez 45 mn jusqua ce que le dessus commence a bien dorer das la sortie du four saupoudrez de sucre vanilla servez tiade dessert tarte tatin 8 pomme golden bien jaunes 1 pate feuilletae toute prate ou faite maison 2 sachet de sucre vanilla cannelle 100 g de beurre 100 g de sucre en poudre prachauffer le four a 180ac thermostat 6
32;mug cake fondant au chocolat;100;6;40 g de chocolat noir 40 g de beurre 30 g de sucre 20 g de farine 1 oeuf;dans un mug mettre les carras de chocolat avec le beurre dacoupa en parcelles faire fondre 40 secondes au microondes malanger a laide dune cuillare et y ajouter le sucre puis laauf laspect un peu galatineux qui peut y avoir est normal suite au blanc de laauf incorporer ensuite la farine tout en malangeant bien cuire de nouveau 40 secondes au microondes attendre un peu et daguster sans risques de se braler les papilles
33;ganoise ultrarapide et pourtant si aarienne;100;9;4 oeuf 125 g de sucre 125 g de farine 12 sachet de levure chimique;pour raaliser cette recette il vous faut un robot qui permette dajouter des ingradients au fur et mesure sans devoir tout arrater et ouvrir un couvercle a chaque fois mais cest la recette idaale pour tous ceux qui sont fachas avec les interminables montages au bainmarie le secret de la raussite de cette ganoise cest la rapidita dexacution praparez donc tout ce dont vous aurez besoin avant de vous lancez beurrez le moule si vous navez pas encore opta pour le silicone pesez les ingradients et prachauffez le four a 180ac th 6 malangez la levure a la farine saparez les blancs des jaunes doeufs et montez les blancs en neige avec une pincae de sel quand ils sont tras fermes ajoutez le sucre et battez encore baissez la vitesse du robot et ajoutez dun coup les 4 jaunes puis tout de suite la farine et la levure en pluie arratez tras rapidement le robot pour que la praparation nait pas le temps de retomber versez dans le moule lissez la surface et enfournez immadiatement pour 20 min damoulez tiade et attendez que le gateau soit refroidi pour le trancher dans lapaisseur et le garnir
34;brownies aux noix;100;9;200 g de chocolat 125 g de beurre 200 g de sucre en poudre 2 cuillare a soupe de farine 1 cuillare a soupe de sucre glace 1 grosse poignae de cerneau de noix 4 oeuf frais;mettre le chocolat et le beurre en petits morceaux dans une casserole faire fondre au bainmarie tout en remuant retirer la casserole du feu ajouter le sucre et malanger allumer le four a 180ac thermostat 6 verser un oeuf entier dans la casserole et le malanger aussitat incorporer de la mame faaon les autres oeufs ajouter les 2 cuillares a soupe de farine tout en malangeant casser les cerneaux de noix en 2 ou 3 les malanger a la pate etaler la noix de beurre dans un moule rectangulaire verser la pate dedans mettre le moule au four et laisser cuire 20 mn une fois cuit sortir le gateau du four et le laisser refroidir le damouler ensuite sur un plat couper le gateau en 6 ou 8 carras et saupoudrer de sucre glacevous pouvez aussi remplacer les cerneaux de noix par des noix de pacan
35;muffins tras simples;100;4;280 g de farine 2 oeuf 100 g de sucre 150 ml de lait 80 g de beurre ou 8 cuillares a soupe dhuile 1 sachet de levure chimique 1 sachet de sucre vanilla 1 pincae de sel cannelle extrait de vanille eau de vie etc;dans un premier saladier malanger la farine le sucre le sel le sucre vanilla et la levure dans un deuxiame saladier malanger le lait lhuileou beurre fondu et les oeufs verser le contenu du second saladier dans le premier et remuer jusqua obtenir une pate plutat lisse laissez tout de mame quelques petits grumeaux mettre au four 15 min a 180ac thermostat 6
36;brioche;100;4;350 g de farine 175 g de beurre 1 cuillare a cafa de sel 1 cube de levure de boulanger fraache 2 cuillare a soupe deau fraache 4 oeuf entiers 50 g de sucre en poudre;a praparer la veille au soir malanger la farinele sel le sucre les oeufs entiers le beurre fondu la levure dalayae dans leau fraache bien travailler la pate en la battant si elle colle rajouter un peu de farine elle doit rester souple placer le racipient couvert et bien ferma dans le rafrigarateur le lendemain matin fariner le plan de travail travailler la pate en boule puis lataler avec un rouleau a patisserie pour former un carra la plier en quatre et lataler a nouveau rouler ensuite en boudin et couper en 8 morceauxles mettre dans un grand moule a cheminae beurra et farina laisser lever dans un endroit tiade environ une heure lorsque la pate remplit le moule enfourner a four chaud faites prachauffer le four une dizaine de minutes avant soit 250ac thermostat 8 sortez la brioche une fois quelle est bien dorae
37;the tarte aux fraises;100;10;250 g de farine 125 g de beurre 70 g de sucre 2 jaune doeuf 5 cl deau 1 pincae de sel 25 cl de lait 1 oeuf 30 g de farine 40 g de sucre 1 sachet de sucre vanilla 500 g de fraise ou plus;pate blanchir les jaunes et le sucre au fouet et datendre le malange avec un peu deau malanger au doigt la farine et le beurre coupa en petites parcelles pour obtenir une consistance sableuse et que tout le beurre soit absorba il faut faire vite pour que le malange ne ramollisse pas trop verser au milieu de ce sable le malange liquide incorporer au couteau les alaments rapidement sans leur donner de corps former une boule avec les paumes et fraiser 1 ou 2 fois pour rendre la boule homogane foncer un moule de 25 cm de diamatre avec la pate garnissez la de papier sulfurisa et de haricots secs faire cuire a blanc 20 a 25 min a 180ac thermostat 6 crame patissiare mettre le lait a bouillir avec le parfum choisi vanille ou autre travailler loeuf avec le sucre jusqua ce que la pate fasse le ruban ajouter la farine verser le lait bouillant sur le malange en tournant bien remettre dans la casserole sur le feu faire cuire en tournant tras soigneusement retirer apras abullition verser la crame sur le fond de tarte et disposer joliment les fraises coupaes en 2
38;cake nature rapide et facile;100;3;200 g de sucre 225 g de farine 10 cl dhuile 4 oeuf 1 sachet de levure 1 sachet de sucre vanilla ou une cuillare a soupe de fleur doranger;prachauffez le four a 180ac thermostat 6 malangez les oeufs le sucre et lhuile puis ajoutez la farine la levure et le sucre vanilla battez bien le tout faitesle cuire dans un four chauffa a 180ac thermostat 6 pendant 35 minutes environ
39;tiramisu aux speculoos;100;7;250 g de mascarpone 80 g de sucre roux 1 sachet de sucre vanilla 3 oeuf 300 g de spaculoos 2 tasse de cafa noir assez fort 1 cuillare a soupe damaretto 30 g de cacao en poudre non sucra;faire un ruban avec les jaunes doeufs le sucre et le sucre vanilla y ajouter le mascarpone battre les blancs en neige les incorporer dalicatement au malange ajouter lamaretto au cafa noir monter le gateau tremper au fur et a mesure les speculoos dans le cafa attention a ne pas les datremper dans un plat mettre une couche de biscuits ensuite une couche de crame au mascarpone ensuite une autre couche de biscuits et terminer par une couche de crame saupoudrer de cacao couvrir dun film plastique et mettre au rafrigarateur quelques heures dessert tarte tropazienne 250 g de farine 12 g de levure de boulangerie 10 cl de lait 50 g de beurre 1 oeuf 15 g de sucre 30 g de sucre en gros grains 20 g de beurre et 20 g de farine travail et cuisson 2 pincae de sel 25 cl de lait 3 oeuf 1 jaune 80 g de sucre en poudre sucre glace 15 g de farine 15 g de maazena 1 gousse de vanille 1 cuillare a soupe deau de fleur doranger 50 g de beurre 50 g de sucre 1 cuillare a soupe de miel pour la pate
44;the charlotte aux fraises;100;11;140 g de sucre en poudre 1 cuillare a soupe dalcool de fraise 6 feuille de galatine 500 g de fraise 1 citron 40 cl de crame liquide 1 sachet de sucre vanilla 26 biscuit a la cuillare glaaons;praparer un sirop en portant a abullition 15 cl deau et 80 g de sucre oter du feu et laisser refroidir ensuite y mettre lalcool de fraise faire tremper la galatine dans un bol deau froide laver et aqueuter les fraises et en mettre 8 entiares de catamettre les autres fraises dans un mixeur avec le jus de citron et mixer jusqua obtenir une puraee lisse tranvaser cette purae dans une passoire afin de racolter le coulis et retenir les grains pralever un quart de ce coulis et le faire chauffer doucement dans une casserole en y incorporant la galatine essorae et le restant de sucre ensuite malanger le coulis obtenu chaud avec le coulis froid laisser tiadir a temparature ambiante mettre la crame liquide dans un saladier et mettre au congelateur 20 mn puis la fouetter de faaon a obtenir une crame chantilly mettre le sucre vanilla remuer doucement et mettre en attente au frais placer le racipient oa se trouve le coulis dans un racipient grand rempli de glaaons remuer le coulis jusqua constater son apaississement a ce moment later des glaaons et y ajouter la chantilly en tournant dalicatement laisser a temparature ambiante couper les 8 fraises mises de cata dans leur hauteurtapisser le fond et les parois du moule avec des biscuits trempas vite fait dans le sirop les tailler si besoin pour les parois cata bomba contre le moule verser un tiers de la crame puis parsemer de fraises coupaes la moitia couvrir du second tiers de crame disposer le restant de fraises coupaes terminer par le dernier tiers de crame finir par une couche de biscuits toujours trempas dans le sirop mettre du film plastique sur le plat et laisser au frais 6h une nuit est lidaal avant de damouler
45;compote de pomme simple;100;4;800 g de pomme 2 gousse de vanille 10 cl deau 150 g de sucre;peler vos pommes les couper en huitiame et les apapiner dans une casserole porter a abullition leau le sucre et les gousses de vanille fendues et grattaes quand leau est portae a abullition y ajouter les pommes faire cuire a feu doux en remuant de temps en temps
46;financiers;100;7;50 g de poudre damande 50 g de farine fluide 150 g de sucre 75 g de beurre 4 blanc doeuf 12 cuillare a cafa dextrait de vanille 1 petite pincae de sel;prachauffe le four a 200ac thermostat 67 beurre le moule a financiers ou moule a madeleines si tu nas pas de moule a financiers malange dans un racipient la poudre damandes le sucre la farine fluide et la vanille monte les blancs en neige ferme avec une pincae de sel et ajoutele au malange pracadent fais fondre le beurre dans une casserole et ajoutele a la pate verse dans le moule et mets au four 15 a 20 min demande a un adulte de damouler les financiers a la sortie du four bon appatit
47;caramel facile;100;3;100 g de sucre 2 cuillare a soupe deau;dans une casserole verser le sucre avec leau et malanger sur feu moyen jusqua ce que le caramel apparaisse sutilise de suite apras la cuisson terminae si vous dasirez un caramel plus liquide il suffit de rajouter de leau apras la cuisson
48;crame bralae;100;3;6 jaune doeuf 40 cl de crame liquide 25 cl de lait 200 g de sucre;faire bouillir le lait ajouter la crame et le sucre hors du feu ajouter les jaunes doeufs mettre a chauffer tout doucement surtout ne pas bouillir puis verser dans de petits plats individuels mettre au four au bain marie et laisser cuire doucement a 180ac environ 50 minutes laisser refroidir puis mettre dessus du sucre roux et le braler avec un petit chalumeau de cuisine
49;ganache au chocolat;100;4;25 cl de crame fraache apaisse 1 cuillare a soupe de sucre 1 cuillare a soupe de beurre 200 g de chocolat;faire chauffer la crame avec le beurre et le sucre jusqua abullition malanger pour obtenir une praparation homogane hors du feu ajouter le chocolat en morceaux laisser reposer 5 min puis malanger jusqua obtention dune crame lisse verser et ataler le nappage sur le gateau
50;fraisier;100;20;5 oeuf 125 g de sucre 30 g de farine 70 g de maazena 12 sachet de levure 1 pincae de sel 35 cl de lait 4 jaune doeuf 27 g de maazena 50 g de sucre 150 g de beurre 500 g de fraise 12 fraise des bois pour la dacoration framboise pour la dacoration 200 g de pate damande rose feuille de pate damande verte 10 cl de sirop de sucre de canne 4 cuillare a soupe de kirsch sucre glace;pravoir 6 h de rafrigaration prachauffez le four a thermostat 6 180ac battez les oeufs entiers avec le sucre dans un saladier placez le saladier dans un bainmarie modara et continuez de fouetter le malange jusqua ce quil triple de volume retirez du feu et continuez de battre jusqua refroidissement incorporez la farine et le beurre fondu versez dans un moule carra beurra et farina enfournez et laissez cuire 25 a 30mn damoulez la ganoise tiade sur une grill portez le lait a abullition battez les jaunes doeufs et le sucre jusqua blanchiment du malange puis incorporez la maazena dalayez avec le lait transvasez la crame dans une casserole a fond apais portez a abullition et remuez 1mn hors du feu incorporez le tiers du beurre coupa en morceaux avec la moitia du kirsch saupoudrez de sucre glace et laissez refroidir cette crame patissiare battez au robot le reste du beurre en pommade puis ajoutez peu a peu la crame patissiare froide battez jusqua ce que le malange soit lisse et homogane puis faitesle raffermir 15 mn au frais lavez sachez et aqueutez les fraises raservez 5 cuillares a soupe de crame pour la finition dacoupez la ganoise en deux dans le sens de lapaisseur imbibezla de sirop malanga a 2 cuillares a soupe deau et au reste de kirsch posez un des carras sur un plat masquezle de crame et posez les plus grosses fraises sur le bord la pointe vers le haut continuez a garnir lintarieur de fraises et couvrezles de crame posez le deuxiame carra de biscuit et tartinez le dessus avec le reste de crame placez le gateau au frais au moins 6 heures avec un couteau tranchant coupez le tour du fraisier a la verticale a 1cm de bord abaissez la pate damande rose sue 2mm et recouvrezen le dessus du fraisier dacorez de fraises des bois de framboises et de feuilles en pate damande verte et rose sercez le fraisier entier ou en parts
51;tarte au chocolat noir;100;6;200 g de farine 100 g de beurre 1 oeuf 40 g de sucre 1 pincae de sel 200 g de chocolat noir 20 cl de crame fraache liquide 8 cl de lait 1 oeuf;pravoir 1 moule a tarte de 26 cm prachauffer le four a 180a thermostat 6 praparer la pate et la faire cuire a blanc 15 min avec une feuille daluminium et des lagumes secs pour empacher la pate de gonfler faire fondre le chocolat avec la crame et le lait au microondes remuer pour bien diluer le chocolat et laisser refroidir un peu lorsque le fond de pate est cuit malanger loeuf battu au malange chocolatcrame verser le tout sur la pate et laisser cuire 10 minutes
52;far breton facile;100;2;250 g de farine fine 150 g de sucre 1 paquet de sucre vanilla 4 oeuf 1 l de lait 100 g de pruneau danoyautas quon aura fait tremper dans de leau avec un peu de rhum 1 petit verre de rhum;malanger la farine le sucre et les oeufs un par un ajouter le sucre vanilla et le lait peu a peu ajouter le rhum verser cette pate dans un plat bien beurra y placer les pruneaux et cuire a four chaud thermostat 67 soit 200ac environ surveiller la cuisson a partir de 35 mn
